"Index","LandAverageTemperature"
"Jun 1839",12.548
"Jul 1839",14.411
"Aug 1839",14.07
"Sep 1839",10.853
"Oct 1839",8.219
"Nov 1839",3.92
"Dec 1839",1.074
"Jan 1840",2.561
"Feb 1840",2.102
"Mar 1840",4.04
"Apr 1840",7.943
"May 1840",11.173
"Jun 1840",13.411
"Jul 1840",14.714
"Aug 1840",13.086
"Sep 1840",11.01
"Oct 1840",7.505
"Nov 1840",4.101
"Dec 1840",1.909
"Jan 1841",0.649
"Feb 1841",2.468
"Mar 1841",3.307
"Apr 1841",6.77
"May 1841",10.764
"Jun 1841",13.062
"Jul 1841",14.552
"Aug 1841",13.708
"Sep 1841",10.921
"Oct 1841",8.765
"Nov 1841",4.744
"Dec 1841",2.548
"Jan 1842",1.636
"Feb 1842",2.787
"Mar 1842",5.75
"Apr 1842",8.31
"May 1842",10.535
"Jun 1842",12.629
"Jul 1842",13.584
"Aug 1842",13.241
"Sep 1842",10.94
"Oct 1842",8.307
"Nov 1842",4.824
"Dec 1842",3.73
"Jan 1843",2.974
"Feb 1843",3.92
"Mar 1843",4.744
"Apr 1843",7.83
"May 1843",10.04
"Jun 1843",12.53
"Jul 1843",13.991
"Aug 1843",13.295
"Sep 1843",11.326
"Oct 1843",8.722
"Nov 1843",4.947
"Dec 1843",3.765
"Jan 1844",1.868
"Feb 1844",2.038
"Mar 1844",4.734
"Apr 1844",7.389
"May 1844",10.109
"Jun 1844",12.84
"Jul 1844",13.921
"Aug 1844",13.046
"Sep 1844",10.819
"Oct 1844",8.7
"Nov 1844",4.401
"Dec 1844",1.891
"Jan 1845",2.661
"Feb 1845",1.627
"Mar 1845",4.651
"Apr 1845",8.158
"May 1845",10.433
"Jun 1845",12.863
"Jul 1845",14.319
"Aug 1845",13.556
"Sep 1845",11.234
"Oct 1845",7.782
"Nov 1845",5.194
"Dec 1845",1.736
"Jan 1846",3.213
"Feb 1846",3.376
"Mar 1846",6.314
"Apr 1846",7.473
"May 1846",10.896
"Jun 1846",13.53
"Jul 1846",14.923
"Aug 1846",14.121
"Sep 1846",11.738
"Oct 1846",8.229
"Nov 1846",5.044
"Dec 1846",3.776
"Jan 1847",2.753
"Feb 1847",3.602
"Mar 1847",4.046
"Apr 1847",7.98
